Claim_ID,Contact_ID,Customer_ID,State,Region,Reserve_Amount,Loss_Date,Reported_Date,First_Contact_Date,Closed_Date,Days_To_First_Contact,Cycle_Time_Days,Inbound_Calls,Avg_Hold_Time_,Transfer_Count,Documentation_Error,Escalated,Claim_Complexity,Adjuster_ID,Adjuster_Level,Team,Quality_Score,Customer_Satisfaction_Score
CLM-2025-00001,CNT-100001,CUST-27735,OR,West,"$7,928.87 ",1/20/2025,1/23/2025,1/24/2025,2/17/2025,1,25,2,0.34,2,No,No,Low,ADJ-1074,Senior,Team Team Alpha,93.7,6.9
CLM-2025-00002,CNT-100002,CUST-60931,CA,West,"$12,977.11 ",7/17/2025,7/17/2025,7/17/2025,8/19/2025,0,33,4,4.43,,No,No,Low,ADJ-1019,Senior,Team Team West,100,8.1
CLM-2025-00003,CNT-100003,CUST-12323,IL,Midwest,"$7,941.05 ",8/16/2025,8/16/2025,8/18/2025,9/17/2025,-1,32,N/A,2.31,1,No,No,High,ADJ-1064,Senior,Team Team Central,90.8,7.5
CLM-2025-00004,CNT-100004,CUST-74910,TX,South Central,"$46,816.90 ",8/1/2025,8/3/2025,8/5/2025,10/4/2025,2,62,8,5.78,0,No,No,Low,ADJ-1071,Standard,Team Team Alpha,88,5.5
CLM-2025-00005,CNT-100005,CUST-79410,TX,South Central,"$7,293.78 ",4/13/2025,4/14/2025,4/16/2025,N/A,2,25,5,4.57,0,No,No,Medium,ADJ-1068,Senior,Team Echo,94,6.3
CLM-2025-00006,CNT-100006,CUST-74166,AZ,Southwest,"$6,403.50 ",10/19/2025,10/23/2025,10/24/2025,11/28/2025,1,36,5,5.25,0,No,Yes,Medium,ADJ-1036,Standard,Team SouthTeam West,87.9,5.3
CLM-2025-00007,CNT-100007,CUST-57406,CA,West,,7/19/2025,7/21/2025,7/21/2025,8/13/2025,0,23,5,3.64,0,Yes,Yes,Low,ADJ-1034,Senior,Team Gamma,85.2,6.8
CLM-2025-00008,CNT-100008,CUST-96224,CA,West,$821.00 ,3/10/2025,3/10/2025,,3/26/2025,2,16,5,4.16,0,No,No,Medium,ADJ-1010,Senior,Team Gamma,95.2,5.3
CLM-2025-00009,CNT-100009,CUST-65421,NV,Southwest,"$5,679.07 ",5/23/2025,5/24/2025,5/24/2025,6/20/2025,0,27,7,1.68,1,No,No,Low,ADJ-1018,Senior,Team SouthTeam West,91.6,6.9
CLM-2025-00010,CNT-100010,CUST-17622,AZ,Southwest,"$2,449.00 ",12/2/2025,12/2/2025,12/2/2025,12/17/2025,0,15,3,3.79,0,No,No,Medium,ADJ-1070,Trainee,Team Team Alpha,88.8,8.3
CLM-2025-00011,CNT-100011,CUST-83615,UT,Mountain,"$1,780.13 ",3/16/2025,,3/16/2025,4/5/2025,0,20,2,3.82,0,No,No,Medium,ADJ-1045,Senior,Team Team West,95.1,8.6
CLM-2025-00012,CNT-100012,CUST-27945,CO,Mountain,"$6,530.63 ",6/30/2025,6/30/2025,6/30/2025,7/26/2025,0,26,3,2.27,0,,No,Medium,ADJ-1043,Trainee,Team Echo,92.7,7.7
CLM-2025-00013,CNT-100013,CUST-59823,FL,Southeast,"$18,047.82 ",12/8/2025,12/12/2025,12/12/2025,1/13/2026,0,22,7,4.35,0, no ,No,Medium,ADJ-1051,Senior,Team Team West,97.1,6.8
CLM-2025-00014,CNT-100014,CUST-72894,TX,South Central,"$2,300.79 ",1/21/2025,1/21/2025,1/22/2025,1/20/2025,1,-1,5,3.53,0,No,No,Medium,ADJ-1038,Specialist,Team Team Alpha,98.6,6.3
CLM-2025-00015,CNT-100015,CUST-74814,AZ,Southwest,"$3,883.24 ",1/8/2025,1/8/2025,1/10/2025,1/26/2025,2,18,4,3.24,1,No,No,Low,ADJ-1006,Senior,Team Team West,93.6,7.5
CLM-2025-00016,CNT-100016,CUST-71657,GA,Southeast,"$7,577.16 ",4/20/2025,4/21/2025,4/24/2025,5/19/2025,3,28,3,3.33,1,No,No,High,ADJ-1067,,Team Team Central,87.3,N/A
CLM-2025-00017,CNT-100017,CUST-38800,FL,Southeast,$999.78 ,7/2/2025,7/5/2025,,7/30/2025,3,25,5,1.86,1,Yes,Yes,Low,,Trainee,Team Team West,85.6,5.9
CLM-2025-00018,CNT-100018,CUST-92341,TX,South Central,"$7,039.43 ",9/23/2025,9/25/2025,9/26/2025,10/17/2025,1,22,4,5.19,0,No,No, Medium ,ADJ-1016,Specialist,Team SouthTeam West,92,7.4
CLM-2025-00019,CNT-100019,CUST-90992,AZ,Southwest,$707.04 ,3/22/2025,3/24/2025,3/25/2025,4/21/2025,1,23,1,1.65,0,No,No,Medium,ADJ-1038,Senior,Team SouthTeam West,92.5,7.1
CLM-2025-00020,CNT-100020,CUST-75719,NV,Southwest,"$2,067.82 ",6/20/2025,6/23/2025,6/24/2025,7/8/2025,1,15,2,1.20,0,No,No,Low,ADJ-1050,Standard,Team Team Central,92.3,7.7
CLM-2025-00021,CNT-100021,CUST-37692,WA,West,"$12,133.99 ",11/1/2025,11/3/2025,11/5/2025,1/4/2026,2,62,7,6.39,3,No,Yes,High,ADJ-1068,Specialist,Team SouthTeam West,84.4,2.9
CLM-2025-00022,CNT-100022,CUST-81789,OR,West,"$17,862.52 ",5/3/2025,5/4/2025,5/4/2025,5/1/2025,0,-3,4,3.88,2,No,No,High,ADJ-1011,Senior,Team Echo,91.6,6.7
CLM-2025-00023,CNT-100023,CUST-88712,TX,South Central,"$2,348.56 ",,11/20/2025,11/23/2025,12/7/2025,3,17,,6.03,N/A,Yes,No,Medium,ADJ-1028,Standard,Team Gamma,83.6,3.7
CLM-2025-00024,CNT-100024,CUST-91753,WA,West,"$21,014.30 ",1/25/2025,1/28/2025,1/29/2025,2/21/2025,1,24,3,3.74,0,No,Yes,Low,ADJ-1060,Standard,Team Echo,87.1,7.6
CLM-2025-00025,CNT-100025,CUST-70598,UT,Mountain,$955.54 ,1/13/2025,1/15/2025,1/18/2025,1/25/2025,3,10,2,3.81,1,No,No,Medium,ADJ-1016,Senior,Team Beta,93.4,5.2
CLM-2025-00026,CNT-100026,CUST-97295,CO,Mountain,"$19,552.45 ",9/26/2025,9/26/2025,9/28/2025,11/11/2025,2,46,4,1.08,1,No,Yes,High,ADJ-1042,Standard,Team Gamma,91.4,6.8
CLM-2025-00027,CNT-100027,CUST-63683,NM,Southwest,"$4,883.86 ",3/23/2025,3/24/2025,3/25/2025,4/14/2025,1,21,2,0.98,0,No,No,Low,ADJ-1004,Specialist,Team Team West,94.7,7.9
CLM-2025-00028,CNT-100028,CUST-59722,OR,West,$829.79 ,10/17/2025,10/19/2025,10/20/2025,11/1/2025,1,13,4,3.91,0,No,No,Medium,ADJ-1036,Specialist,Team Team Central,91.4,7.1
CLM-2025-00029,CNT-100029,CUST-58316,FL,Southeast,"$1,706.00 ",4/4/2025,4/6/2025,4/7/2025,5/2/2025,1,26,,3.05,2,No,Yes,High,ADJ-1008,Standard,Team Team West,92.6,5.9
CLM-2025-00030,CNT-100030,CUST-56383,NM,Southwest,"$2,399.13 ",9/17/2025,9/20/2025,9/23/2025,10/6/2025,3,16,2,1.48,0,No,No,Medium,ADJ-1023,Trainee,Team Gamma,85.2,6.6
CLM-2025-00031,CNT-100031,CUST-41461,TX,South Central,"$2,806.05 ",5/25/2025,5/25/2025,5/29/2025,6/13/2025,4,19,1,4.19,1,No,No,High,ADJ-1002,Standard,Team Echo,86.6,5.2
CLM-2025-00032,CNT-100032,CUST-52292,AZ,Southwest,"$6,260.34 ",11/3/2025,11/6/2025,11/9/2025,12/3/2025,3,27,5,4.89,1,No,No,High,ADJ-1002,Trainee,Team SouthTeam West,82.6,6.4
CLM-2025-00033,CNT-100033,CUST-14345,UT,Mountain,"$7,216.67 ",2/22/2025,2/24/2025,,13/32/2025,2,28,4,1.77,0,No,No,Medium,ADJ-1076,Specialist,Team Gamma,87.5,7
CLM-2025-00034,CNT-100034,CUST-81305,NV,Southwest,"$14,231.57 ",9/2/2025,9/7/2025,9/8/2025,10/15/2025,N/A,38,3,3.00,0,No,Yes,Medium,ADJ-1019,Trainee,Team Echo,79.9,6.2
CLM-2025-00035,CNT-100035,CUST-34228,CO,Mountain,"$2,311.97 ",4/12/2025,4/18/2025,4/18/2025,4/22/2025,0,4,3,2.40,0,No,No,Medium,ADJ-1004,Standard,Team Team Central,90.3,9
CLM-2025-00036,CNT-100036,CUST-92182,IL,Midwest,$567.42 ,12/17/2025,12/18/2025,12/18/2025,12/25/2025,0,7,1,6.00,0,No,Yes,Low,ADJ-1066,Trainee,Team SouthTeam West,87.2,7.6
CLM-2025-00037,CNT-100037,CUST-45111,NM,Southwest,"$16,166.98 ",4/26/2025,4/29/2025,4/30/2025,6/5/2025,1,57,4,1.91,0,No,No,medium,ADJ-1019,Specialist,Team Team West,91.8,7.2
CLM-2025-00038,CNT-100038,CUST-23759,IL,Midwest,$451.77 ,4/9/2025,4/12/2025,4/13/2025,4/29/2025,1,17 days,1,3.21,1,No,No,High,ADJ-1055,Senior,Team Team West,95.3,6.9
CLM-2025-00039,CNT-100039,UNKNOWN,NV,Southwest,"$18,287.87 ",2/12/2025,2/14/2025,2/15/2025,4/1/2025,1,46,3,1.31,1,No,No, High ,ADJ-1017,Standard,Team Team Alpha,94.6,7.3
CLM-2025-00040,CNT-100040,CUST-64460,CA,West,"$12,245.57 ",7/22/2025,7/23/2025,7/25/2025,9/9/2025,2,48,5,2.89,0,No,No,Medium,ADJ-1068,Trainee,Team Beta,95.6,5.6
CLM-2025-00041,CNT-100041,CUST-91915,OR,West,"$60,828.79 ",2/21/2025,2/21/2025,2/21/2025,4/16/2025,0,54,4,2.13,1,No,No,Medium,ADJ-1067,Standard,Team Beta,96.1,8
CLM-2025-00042,CNT-100042,CUST-53650,AZ,Southwest,"$14,227.79 ",3/31/2025,4/2/2025,4/5/2025,5/10/2025,3,38,4,1.89,1,No,No,Low,ADJ-1044,Trainee,Team SouthTeam West,84.8,6.3
CLM-2025-00043,CNT-100043,CUST-42317,CA,West,"$1,397.27 ",3/20/2025,3/22/2025,3/23/2025,3/27/2025,1,5,1,3.49,0,No,No,Minor,ADJ-1061,Trainee,Team Echo,92.3,6.6
CLM-2025-00044,CNT-100044,CUST-33093,GA,Southeast,"$4,817.04 ",7/19/2025,7/19/2025,7/20/2025,8/10/2025,1,22,3,,0,No,No,Low,ADJ-1024,Senior,Team Team West,91.4,7.3
CLM-2025-00045,CNT-100045,CUST-96510,UT,Mountain,"$7,194.56 ",11/30/2025,12/1/2025,12/3/2025,12/26/2025,2,25,3,4.16,0,No,No,Medium,ADJ-1036,Specialist,Team Delta,96.8,6
CLM-2025-00046,CNT-100046,CUST-23492,AZ,Southwest,"$10,444.86 ",5/15/2025,5/17/2025,5/17/2025,6/23/2025,0,37,3,4.31,0,No,No,Medium,ADJ-1057,Standard,Team Gamma,95,7.2
CLM-2025-00047,CNT-100047,CUST-94758,TX,South Central,"$6,926.80 ",8/15/2025,8/18/2025,8/20/2025,9/10/2025,-1,23,3,2.64,1,No,,Low,ADJ-1049,Standard,Team Team Central,94.5,7.3
